Gender,Age,Height,Weight,Pelvic_dia,Chest_depth,Chest_dia,Elbow_dia,Wrist_dia,Knee_dia,Ankle_dia,Shoulder_girth,Chest_girth,Waist_girth,Abdominal_girth,Hip_girth,Thigh_girth,Bicep_girth,Forearm_girth,Knee_girth,Calf_girth,Ankle_girth,Wrist_girth,average_deviation_weight,Height (inches),abdominal_girth_inches,thigh girth (in),waist girth (inches),weight (lbs),ankle girth (inches),wrist girth (inches),knee dia (in),ankle dia (in),shoulder girth (inches),wrist diameter in inches,chest diameter (inches),chest depth (inches),hip girth in inches,hip-to-waist ratio
male,21,174,65.6,26,17.7,28,13.1,10.4,18.8,14.1,106.2,89.5,71.5,74.5,93.5,51.5,32.5,26,34.5,36.5,23.5,16.5,11.0339,67.86,29.330724500000002,20.2431565,28.149621500000002,144.62307199999998,9.2519735,6.4960665,7.401578800000001,5.5511841,41.81104620000001,4.09448818896,11.023628,6.9685077,36.811043500000004,1.3076923076923077
male,23,175.3,71.8,28.5,16.9,30.8,14,11.8,20.6,15.1,110.5,97,79,86.5,94.8,51.5,34.4,28,36.5,37.5,24.5,17,11.0339,68.367,34.0551365,20.2431565,31.102379000000003,158.29171599999998,9.6456745,6.6929170000000004,8.110240600000001,5.9448851000000005,43.503960500000005,4.64566929132,12.1259908,6.6535469,37.3228548,1.2
male,28,193.5,80.7,28.2,20.9,31.7,13.9,10.9,19.7,14.1,115.1,97.5,83.2,82.9,95,57.3,33.4,28.8,37,37.3,21.9,16.9,11.0339,75.465,32.63781290000001,22.5229683,32.755923200000005,177.912834,8.6220519,6.6535469,7.7559097,5.5511841,45.3149851,4.29133858266,12.480321700000001,8.2283509,37.401595,1.1418269230769231
male,23,186.5,72.6,29.9,18.4,28.2,13.9,11.2,20.9,15,104.5,97,77.8,78.8,94,53,31,26.2,37,34.8,23,16.6,11.0339,72.735,31.0236388,20.832763,30.6299378,160.05541199999996,9.055123,6.535436600000001,8.2283509,5.905515,41.141754500000005,4.40944881888,11.1023682,7.2440983999999995,37.007894,1.2082262210796915
male,22,187.2,78.8,29.9,21.5,29.4,15.2,11.6,20.7,14.9,107.5,97.5,80,82.5,98.5,55.4,32,28.4,37.7,38.6,24.4,18,11.0339,73.008,32.4803325,21.7761334,31.496080000000003,173.724056,9.6063044,7.0866180000000005,8.1496107,5.8661449,42.322857500000005,4.5669291338399995,11.5748094,8.4645715,38.779548500000004,1.23125
male,21,181.5,74.8,27,19.6,31.3,14,11.5,18.8,13.9,119.8,99.9,82.5,80.1,95.3,57.5,33,28,36.6,36.1,23.5,16.9,11.0339,70.785,31.5354501,22.6015825,32.4803325,164.90557599999997,9.2519735,6.6535469,7.401578800000001,5.4724439,47.165379800000004,4.527559055099999,12.3228413,7.716539600000001,37.5197053,1.155151515151515
male,26,184,86.4,30,21.9,31.7,16.1,12.5,20.8,15.6,123.5,106.9,82,84,101,60.9,42.4,32.3,40.1,40.3,23.6,18.8,11.0339,71.76,33.070884,23.9380239,32.283482,190.479168,9.291343600000001,7.401578800000001,8.188980800000001,6.1417356000000005,48.622073500000006,4.9212598425,12.480321700000001,8.6220519,39.763801,1.2317073170731707
male,27,184.5,78.4,29.8,21.8,28.8,15.1,11.9,21,14.6,120.4,102.5,76.8,80.5,98,56,34.1,28,39.2,36.7,22.5,18,11.0339,71.955,31.692930500000003,22.011976,30.2362368,172.842208,8.8582725,7.0866180000000005,8.267721,5.7480346,47.40160040000001,4.68503937006,11.3385888,8.582681800000001,38.582698,1.2760416666666667
male,23,175,62,26.5,15.5,27.5,14.1,11.2,18.9,13.2,111,91,68.5,69,89.5,50,33,26,35.5,35,22,16.5,11.0339,68.25,27.165369000000002,19.65355,26.968518500000002,136.68643999999998,8.661422,6.4960665,7.4409488999999995,5.1968532,43.700811,4.40944881888,10.8267775,6.1023655,35.2362395,1.3065693430656935
male,21,184,81.6,28,22.5,28,15.6,12,21.1,15,119.5,93.5,77.5,81.5,99.8,59.8,36.5,29.2,38.3,38.6,22.2,16.9,11.0339,71.76,32.0866315,23.5056458,30.511827500000003,179.89699199999998,8.7401622,6.6535469,8.307091100000001,5.905515,47.047269500000006,4.7244094487999995,11.023628,8.8582725,39.2913598,1.2877419354838708
