"player","season","team","position","salary","games","games_started","minutes","field_goals","field_goals_atts","field_goals_perc","points3","points3_atts","points3_perc","points2","points2_atts","points2_perc","effective_field_goal_perc","points1","points1_atts","points1_perc","off_rebounds","def_rebounds","total_rebounds","assists","steals","blocks","turnovers","fouls","points"
"Al Horford",2017,"BOS","C",26540100,68,68,2193,379,801,0.473,86,242,0.355,293,559,0.524,0.527,108,135,0.8,95,369,464,337,52,87,116,138,952
"Amir Johnson",2017,"BOS","PF",1.2e+07,80,77,1608,213,370,0.576,27,66,0.409,186,304,0.612,0.612,67,100,0.67,117,248,365,140,52,62,77,211,520
"Avery Bradley",2017,"BOS","SG",8269663,55,55,1835,359,775,0.463,108,277,0.39,251,498,0.504,0.533,68,93,0.731,65,269,334,121,68,11,88,141,894
"Demetrius Jackson",2017,"BOS","PG",1450000,5,0,17,3,4,0.75,1,1,1,2,3,0.667,0.875,3,6,0.5,2,2,4,3,0,0,0,0,10
"Gerald Green",2017,"BOS","SF",1410598,47,0,538,95,232,0.409,39,111,0.351,56,121,0.463,0.494,33,41,0.805,17,68,85,33,9,7,25,48,262
"Isaiah Thomas",2017,"BOS","PG",6587132,76,76,2569,682,1473,0.463,245,646,0.379,437,827,0.528,0.546,590,649,0.909,43,162,205,449,70,13,210,167,2199
"Jae Crowder",2017,"BOS","SF",6286408,72,72,2335,333,720,0.463,157,394,0.398,176,326,0.54,0.572,176,217,0.811,48,367,415,155,72,23,79,161,999
"James Young",2017,"BOS","SG",1825200,29,0,220,25,58,0.431,12,35,0.343,13,23,0.565,0.534,6,9,0.667,6,20,26,4,10,2,4,15,68
"Jaylen Brown",2017,"BOS","SF",4743000,78,20,1341,192,423,0.454,46,135,0.341,146,288,0.507,0.508,85,124,0.685,45,175,220,64,35,18,68,142,515
"Jonas Jerebko",2017,"BOS","PF",5e+06,78,6,1232,114,262,0.435,45,130,0.346,69,132,0.523,0.521,26,37,0.703,60,213,273,71,26,17,39,122,299
"Jordan Mickey",2017,"BOS","PF",1223653,25,1,141,15,34,0.441,0,1,0,15,33,0.455,0.441,8,14,0.571,13,21,34,7,3,6,9,12,38
"Kelly Olynyk",2017,"BOS","C",3094014,75,6,1538,260,508,0.512,68,192,0.354,192,316,0.608,0.579,90,123,0.732,72,288,360,148,43,29,96,207,678
"Marcus Smart",2017,"BOS","SG",3578880,79,24,2399,269,749,0.359,94,332,0.283,175,417,0.42,0.422,203,250,0.812,78,228,306,364,125,34,159,192,835
"Terry Rozier",2017,"BOS","PG",1906440,74,0,1263,151,411,0.367,57,179,0.318,94,232,0.405,0.437,51,66,0.773,40,187,227,131,45,11,47,69,410
"Tyler Zeller",2017,"BOS","C",8e+06,51,5,525,78,158,0.494,0,1,0,78,157,0.497,0.494,22,39,0.564,43,81,124,42,7,21,20,61,178
"Channing Frye",2017,"CLE","C",7806971,74,15,1398,238,520,0.458,137,335,0.409,101,185,0.546,0.589,63,74,0.851,37,253,290,45,33,37,53,138,676
"Dahntay Jones",2017,"CLE","SF",18255,1,0,12,3,8,0.375,0,2,0,3,6,0.5,0.375,3,4,0.75,1,1,2,1,0,0,1,1,9
"Deron Williams",2017,"CLE","PG",259626,24,4,486,68,147,0.463,22,53,0.415,46,94,0.489,0.537,21,25,0.84,1,44,45,86,6,6,40,42,179
"Derrick Williams",2017,"CLE","PF",268029,25,0,427,54,107,0.505,21,52,0.404,33,55,0.6,0.603,27,39,0.692,3,54,57,14,5,2,14,27,156
"Iman Shumpert",2017,"CLE","SG",9700000,76,31,1937,201,489,0.411,94,261,0.36,107,228,0.469,0.507,71,90,0.789,39,180,219,109,62,27,78,150,567
"J.R. Smith",2017,"CLE","SG",12800000,41,35,1187,123,356,0.346,95,271,0.351,28,85,0.329,0.479,10,15,0.667,17,96,113,62,40,11,26,77,351
"James Jones",2017,"CLE","SF",1551659,48,2,381,44,92,0.478,31,66,0.47,13,26,0.5,0.647,13,20,0.65,3,35,38,14,7,10,10,37,132
"Kay Felder",2017,"CLE","PG",543471,42,0,386,62,158,0.392,7,22,0.318,55,136,0.404,0.415,35,49,0.714,3,38,41,58,18,7,31,38,166
"Kevin Love",2017,"CLE","PF",21165675,60,60,1885,370,867,0.427,145,389,0.373,225,478,0.471,0.51,257,295,0.871,148,518,666,116,53,22,122,125,1142
"Kyle Korver",2017,"CLE","SG",5239437,35,1,859,131,269,0.487,97,200,0.485,34,69,0.493,0.667,14,15,0.933,7,90,97,35,11,8,29,60,373
"Kyrie Irving",2017,"CLE","PG",17638063,72,72,2525,671,1420,0.473,177,441,0.401,494,979,0.505,0.535,297,328,0.905,52,178,230,418,83,25,180,157,1816
"LeBron James",2017,"CLE","SF",30963450,74,74,2794,736,1344,0.548,124,342,0.363,612,1002,0.611,0.594,358,531,0.674,97,543,640,646,92,44,303,134,1954
"Richard Jefferson",2017,"CLE","SF",2500000,79,13,1614,153,343,0.446,62,186,0.333,91,157,0.58,0.536,80,108,0.741,28,174,202,78,26,10,52,153,448
"Tristan Thompson",2017,"CLE","C",15330435,78,78,2336,262,437,0.6,0,3,0,262,434,0.604,0.6,106,213,0.498,287,429,716,77,39,84,64,176,630
"Cory Joseph",2017,"TOR","SG",7330000,80,22,2003,299,661,0.452,48,135,0.356,251,526,0.477,0.489,94,122,0.77,52,184,236,265,66,13,109,140,740
"Delon Wright",2017,"TOR","PG",1577280,27,0,446,49,116,0.422,10,30,0.333,39,86,0.453,0.466,42,55,0.764,16,32,48,57,27,11,25,31,150
"DeMar DeRozan",2017,"TOR","SG",26540100,74,74,2620,721,1545,0.467,33,124,0.266,688,1421,0.484,0.477,545,647,0.842,70,316,386,290,78,13,180,134,2020
"DeMarre Carroll",2017,"TOR","SF",14200000,72,72,1882,220,549,0.401,109,320,0.341,111,229,0.485,0.5,89,117,0.761,63,212,275,74,81,27,54,143,638
"Fred VanVleet",2017,"TOR","PG",543471,37,0,294,39,111,0.351,11,29,0.379,28,82,0.341,0.401,18,22,0.818,4,38,42,35,17,2,15,36,107
"Jonas Valanciunas",2017,"TOR","C",14382022,80,80,2066,391,702,0.557,1,2,0.5,390,700,0.557,0.558,176,217,0.811,226,533,759,57,37,63,106,216,959
"Kyle Lowry",2017,"TOR","PG",1.2e+07,60,60,2244,426,918,0.464,193,468,0.412,233,450,0.518,0.569,299,365,0.819,48,239,287,417,88,19,173,170,1344
"Lucas Nogueira",2017,"TOR","C",1921320,57,6,1088,103,156,0.66,3,12,0.25,100,144,0.694,0.67,44,67,0.657,82,161,243,42,52,90,46,137,253
"Norman Powell",2017,"TOR","SG",874636,76,18,1368,227,506,0.449,56,173,0.324,171,333,0.514,0.504,126,159,0.792,26,142,168,82,51,14,70,127,636
"P.J. Tucker",2017,"TOR","SF",5300000,24,4,609,52,128,0.406,24,60,0.4,28,68,0.412,0.5,11,16,0.688,23,106,129,26,31,5,14,53,139
"Pascal Siakam",2017,"TOR","PF",1196040,55,38,859,103,205,0.502,1,7,0.143,102,198,0.515,0.505,22,32,0.688,64,122,186,17,26,45,33,109,229
"Patrick Patterson",2017,"TOR","PF",6050000,65,8,1599,154,384,0.401,94,253,0.372,60,131,0.458,0.523,43,60,0.717,62,229,291,76,40,23,38,120,445
"Serge Ibaka",2017,"TOR","PF",12250000,23,23,712,128,279,0.459,41,103,0.398,87,176,0.494,0.532,30,34,0.882,29,127,156,15,7,33,39,76,327
"Bojan Bogdanovic",2017,"WAS","SF",3730653,26,0,601,107,234,0.457,45,115,0.391,62,119,0.521,0.553,71,76,0.934,14,66,80,21,10,4,38,47,330
"Bradley Beal",2017,"WAS","SG",22116750,77,77,2684,637,1322,0.482,223,552,0.404,414,770,0.538,0.566,282,342,0.825,53,186,239,267,83,21,157,169,1779
"Brandon Jennings",2017,"WAS","PG",1200000,23,2,374,29,106,0.274,11,52,0.212,18,54,0.333,0.325,12,17,0.706,8,36,44,108,15,0,22,32,81
"Jason Smith",2017,"WAS","C",5e+06,74,3,1068,174,329,0.529,37,78,0.474,137,251,0.546,0.585,35,51,0.686,64,194,258,37,21,55,58,168,420
"John Wall",2017,"WAS","PG",16957900,78,78,2836,647,1435,0.451,89,272,0.327,558,1163,0.48,0.482,422,527,0.801,58,268,326,831,157,49,323,151,1805
"Marcin Gortat",2017,"WAS","C",1.2e+07,82,82,2556,390,674,0.579,0,2,0,390,672,0.58,0.579,103,159,0.648,238,611,849,121,40,65,118,213,883
"Markieff Morris",2017,"WAS","PF",7400000,76,76,2374,406,889,0.457,71,196,0.362,335,693,0.483,0.497,180,215,0.837,107,385,492,126,82,42,129,254,1063
"Otto Porter",2017,"WAS","SF",5893981,80,80,2605,414,803,0.516,148,341,0.434,266,462,0.576,0.608,99,119,0.832,118,397,515,121,116,41,43,193,1075
"Sheldon McClellan",2017,"WAS","SG",543471,30,3,287,30,75,0.4,7,30,0.233,23,45,0.511,0.447,23,27,0.852,4,30,34,15,8,2,5,17,90
"Tomas Satoransky",2017,"WAS","SG",2870813,57,3,719,61,146,0.418,9,37,0.243,52,109,0.477,0.449,23,33,0.697,25,58,83,92,26,6,38,60,154
"Trey Burke",2017,"WAS","PG",3386598,57,0,703,116,255,0.455,31,70,0.443,85,185,0.459,0.516,22,29,0.759,7,40,47,100,11,5,48,54,285
"DeAndre' Bembry",2017,"ATL","SF",1499760,38,1,371,47,98,0.48,1,18,0.056,46,80,0.575,0.485,6,16,0.375,14,45,59,28,8,5,16,21,101
"Dennis Schroder",2017,"ATL","PG",2708582,79,78,2485,548,1215,0.451,100,294,0.34,448,921,0.486,0.492,218,255,0.855,42,206,248,499,74,16,258,149,1414
"Dwight Howard",2017,"ATL","C",23180275,74,74,2199,388,613,0.633,0,2,0,388,611,0.635,0.633,226,424,0.533,296,644,940,104,64,92,170,203,1002
"Ersan Ilyasova",2017,"ATL","PF",8400000,26,12,633,93,226,0.412,32,92,0.348,61,134,0.455,0.482,52,65,0.8,42,109,151,43,22,8,34,73,270
"Jose Calderon",2017,"ATL","PG",392478,17,2,247,23,57,0.404,8,30,0.267,15,27,0.556,0.474,7,8,0.875,7,25,32,37,4,0,15,14,61
"Kent Bazemore",2017,"ATL","SF",15730338,73,64,1963,295,721,0.409,92,266,0.346,203,455,0.446,0.473,119,168,0.708,45,186,231,177,91,52,125,165,801
"Kris Humphries",2017,"ATL","PF",4e+06,56,4,689,87,214,0.407,19,54,0.352,68,160,0.425,0.451,64,82,0.78,60,146,206,29,15,21,28,69,257
"Malcolm Delaney",2017,"ATL","PG",2500000,73,2,1248,145,388,0.374,26,110,0.236,119,278,0.428,0.407,75,93,0.806,11,113,124,193,39,1,95,112,391
"Mike Dunleavy",2017,"ATL","SF",4837500,30,0,475,57,130,0.438,33,77,0.429,24,53,0.453,0.565,22,26,0.846,13,55,68,30,9,5,14,35,169
"Mike Muscala",2017,"ATL","C",1015696,70,3,1237,170,337,0.504,46,110,0.418,124,227,0.546,0.573,49,64,0.766,76,164,240,95,30,41,55,97,435
"Paul Millsap",2017,"ATL","PF",20072033,69,67,2343,430,972,0.442,75,241,0.311,355,731,0.486,0.481,311,405,0.768,111,422,533,252,90,62,158,186,1246
"Ryan Kelly",2017,"ATL","PF",418228,16,0,110,8,28,0.286,4,10,0.4,4,18,0.222,0.357,5,6,0.833,1,17,18,8,4,5,4,5,25
